Algorithm,Function,D2_Ideal,D2_Best Fitness,D2_Mean Fitness,D2_Worst Fitness,D2_Std Dev,D2_SEM,D2_Success Rate,D10_Ideal,D10_Best Fitness,D10_Mean Fitness,D10_Worst Fitness,D10_Std Dev,D10_SEM,D10_Success Rate
fisa,F1,1.000000e+02,1.530049e-01,2.751173e+02,5.516926e+03,1.061335e+03,1.486167e+02,—,—,—,—,—,—,—,—
fisa,F2,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F3,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F4,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F5,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F6,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F7,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F8,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F9,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F10,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F11,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F12,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F13,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F14,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F15,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F16,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F17,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F18,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F19,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F20,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F21,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F22,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F23,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F24,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F25,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F26,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F27,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F28,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F29,—,—,—,—,—,—,—,—,—,—,—,—,—,—
fisa,F30,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F1,1.000000e+02,8.672188e-01,3.618965e+01,1.536229e+02,3.517415e+01,4.925366e+00,—,—,—,—,—,—,—,—
rao1,F2,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F3,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F4,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F5,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F6,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F7,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F8,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F9,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F10,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F11,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F12,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F13,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F14,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F15,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F16,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F17,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F18,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F19,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F20,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F21,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F22,—,—,—,—,—,—,—,—,—,—,—,—,—,—
rao1,F23,—,—,—,—,—,—,—,—,—,—,—,—,—,—
